"","names","ensb","hugo"
"184","ENSG00000007341.14","ENSG00000007341","ST7L"
"185","ENSG00000007350.12","ENSG00000007350","TKTL1"
"186","ENSG00000007372.16","ENSG00000007372","PAX6"
"187","ENSG00000007376.3","ENSG00000007376","RPUSD1"
"188","ENSG00000007384.11","ENSG00000007384","RHBDF1"
"189","ENSG00000007392.12","ENSG00000007392","LUC7L"
"190","ENSG00000007402.7","ENSG00000007402","CACNA2D2"
"191","ENSG00000007516.9","ENSG00000007516","BAIAP3"
"192","ENSG00000007520.3","ENSG00000007520","TSR3"
"193","ENSG00000007541.10","ENSG00000007541","PIGQ"
"194","ENSG00000007545.11","ENSG00000007545","CRAMP1"
"195","ENSG00000007866.14","ENSG00000007866","TEAD3"
"196","ENSG00000007908.11","ENSG00000007908","SELE"
"197","ENSG00000007923.11","ENSG00000007923","DNAJC11"
"198","ENSG00000007933.8","ENSG00000007933","FMO3"
"199","ENSG00000007944.10","ENSG00000007944","MYLIP"
"200","ENSG00000007952.13","ENSG00000007952","NOX1"
"201","ENSG00000007968.6","ENSG00000007968","E2F2"
"202","ENSG00000008018.8","ENSG00000008018","PSMB1"
"203","ENSG00000008056.8","ENSG00000008056","SYN1"
"204","ENSG00000008083.9","ENSG00000008083","JARID2"
"205","ENSG00000008086.6","ENSG00000008086","CDKL5"
"206","ENSG00000008118.5","ENSG00000008118","CAMK1G"
"207","ENSG00000008128.18","ENSG00000008128","CDK11A"
"208","ENSG00000008130.11","ENSG00000008130","NADK"
"209","ENSG00000008196.8","ENSG00000008196","TFAP2B"
"210","ENSG00000008197.4","ENSG00000008197","TFAP2D"
"211","ENSG00000008226.15","ENSG00000008226","DLEC1"
"212","ENSG00000008256.11","ENSG00000008256","CYTH3"
"213","ENSG00000008277.10","ENSG00000008277","ADAM22"
"214","ENSG00000008282.3","ENSG00000008282","SYPL1"
"215","ENSG00000008283.11","ENSG00000008283","CYB561"
"216","ENSG00000008294.16","ENSG00000008294","SPAG9"
"217","ENSG00000008300.10","ENSG00000008300","CELSR3"
"218","ENSG00000008311.10","ENSG00000008311","AASS"
"219","ENSG00000008323.11","ENSG00000008323","PLEKHG6"
"220","ENSG00000008324.6","ENSG00000008324","SS18L2"
"221","ENSG00000008382.11","ENSG00000008382","MPND"
"222","ENSG00000008394.8","ENSG00000008394","MGST1"
"223","ENSG00000008405.7","ENSG00000008405","CRY1"
"224","ENSG00000008438.4","ENSG00000008438","PGLYRP1"
"225","ENSG00000008441.12","ENSG00000008441","NFIX"
"226","ENSG00000008513.10","ENSG00000008513","ST3GAL1"
"227","ENSG00000008516.12","ENSG00000008516","MMP25"
"228","ENSG00000008517.12","ENSG00000008517","IL32"
"229","ENSG00000008710.13","ENSG00000008710","PKD1"
"230","ENSG00000008735.10","ENSG00000008735","MAPK8IP2"
"231","ENSG00000008838.13","ENSG00000008838","MED24"
"232","ENSG00000008853.12","ENSG00000008853","RHOBTB2"
"233","ENSG00000008869.7","ENSG00000008869","HEATR5B"
"234","ENSG00000008952.12","ENSG00000008952","SEC62"
"235","ENSG00000008988.5","ENSG00000008988","RPS20"
"236","ENSG00000009307.11","ENSG00000009307","CSDE1"
"237","ENSG00000009335.13","ENSG00000009335","UBE3C"
"238","ENSG00000009413.11","ENSG00000009413","REV3L"
"239","ENSG00000009694.9","ENSG00000009694","TENM1"
"240","ENSG00000009709.7","ENSG00000009709","PAX7"
"241","ENSG00000009724.12","ENSG00000009724","MASP2"
"242","ENSG00000009765.10","ENSG00000009765","IYD"
"243","ENSG00000009780.11","ENSG00000009780","FAM76A"
"244","ENSG00000009790.10","ENSG00000009790","TRAF3IP3"
"245","ENSG00000009830.7","ENSG00000009830","POMT2"
"246","ENSG00000009844.11","ENSG00000009844","VTA1"
"247","ENSG00000009950.11","ENSG00000009950","MLXIPL"
"248","ENSG00000009954.6","ENSG00000009954","BAZ1B"
"249","ENSG00000010017.9","ENSG00000010017","RANBP9"
"250","ENSG00000010030.9","ENSG00000010030","ETV7"
"251","ENSG00000010072.11","ENSG00000010072","SPRTN"
"252","ENSG00000010165.15","ENSG00000010165","METTL13"
"253","ENSG00000010219.9","ENSG00000010219","DYRK4"
"254","ENSG00000010244.12","ENSG00000010244","ZNF207"
